GEOID,total_population,median_hh_income,total_stops,has_rapid_transit,total_pois,pillar1_transit,pillar2_demographics,pillar3_poi_density,cvi_score,demand_score,supply_score,gap_score
25025092200,3500,109250.0,5,1,2,0.7130633917717275,0.36898749906850187,0.5669858902373621,70.2,0.5410254454201147,0.2009144486914962,52.7
25025092300,3857,71800.0,1,0,3,0.1211094519492599,0.31049426003924,0.6628621527751695,39.4,0.21580185599424995,0.2535258072037418,-5.8
25025092400,6136,36635.0,0,0,1,0.0,0.32795452840732625,0.43185588778851425,23.1,0.16397726420366313,0.1267629036018709,5.8
25025100100,6716,41909.0,0,0,3,0.0,0.3661796096995562,0.6628621527751695,35.9,0.1830898048497781,0.2535258072037418,-10.9
25025100200,3567,61850.0,0,0,0,0.0,0.291084656297538,0.20084962280185914,10.3,0.145542328148769,0.0,22.6
25025100300,3931,84500.0,1,0,0,0.1211094519492599,0.32811003523028465,0.20084962280185914,18.9,0.22460974358977226,0.0,34.8
25025100400,5228,103651.0,0,0,2,0.0,0.4064740071529891,0.5669858902373621,33.6,0.20323700357649455,0.2009144486914962,0.4
25025100500,7627,58828.0,1,0,5,0.1211094519492599,0.433244513026189,0.7979921552240172,52.3,0.27717698248772443,0.3276773522933671,-7.8
25025100601,6521,115536.0,0,0,1,0.0,0.4948574391572968,0.43185588778851425,32.1,0.2474287195786484,0.1267629036018709,18.7
25025100603,2129,118750.0,0,0,8,0.0,0.3719537494199829,0.9331221576728652,48.7,0.18597687470999144,0.4018288973829924,-33.5
25025100700,4541,138736.0,0,0,13,0.0,0.4618950600573981,0.9428262733435937,54.0,0.23094753002869906,0.48263136496289677,-39.0
25025100800,5961,82238.0,12,1,11,0.8481582262353415,0.4182774152704077,0.994200315957865,100.0,0.6332178207528746,0.454440255895238,27.7
25025100900,4440,106851.0,0,0,6,0.0,0.41804540080945735,0.8493661978382886,47.3,0.20902270040472867,0.3558684613610259,-22.8
25025101001,6346,88964.0,1,0,3,0.1211094519492599,0.4460500671349057,0.6628621527751695,46.7,0.2835797595420828,0.2535258072037418,4.7
25025101002,6256,51243.0,5,1,1,0.7130633917717275,0.3624490700118242,0.43185588778851425,63.6,0.5377562308917758,0.1267629036018709,63.7
25025101101,4045,70655.0,0,0,0,0.0,0.34243826246424075,0.20084962280185914,13.1,0.17121913123212038,0.0,26.5
25025101102,5167,44606.0,0,0,2,0.0,0.33552475092115447,0.5669858902373621,29.7,0.16776237546057723,0.2009144486914962,-5.1
25025110104,1966,54934.0,0,0,5,0.0,0.2525044383968805,0.7979921552240172,36.0,0.12625221919844026,0.3276773522933671,-31.2
25025110105,2677,145700.0,2,0,17,0.1919539398224677,0.4739322348520452,0.8590703135090172,61.2,0.33294308733725647,0.5285918009848632,-30.3
25025110106,1707,102404.0,0,0,6,0.0,0.3099450298709329,0.8493661978382886,41.5,0.15497251493546646,0.3558684613610259,-31.1
25025110201,2432,77171.0,0,0,5,0.0,0.26270547528223503,0.7979921552240172,36.5,0.13135273764111752,0.3276773522933671,-30.4
25025110301,2621,102008.0,0,0,11,0.0,0.3262636216837019,0.994200315957865,49.1,0.16313181084185094,0.454440255895238,-45.1
25025110401,3712,84302.0,0,0,0,0.0,0.3344809214279083,0.20084962280185914,12.7,0.16724046071395415,0.0,25.9
25025110403,4868,128512.0,0,0,0,0.0,0.4378812434225563,0.20084962280185914,18.3,0.21894062171127815,0.0,33.9
25025110501,3230,144643.0,1,0,1,0.1211094519492599,0.41700786198729695,0.43185588778851425,34.4,0.2690586569682784,0.1267629036018709,22.1
25025110502,4019,113972.0,2,0,14,0.1919539398224677,0.4218171951207566,0.9198329091636659,61.2,0.30688556747161216,0.49524879595417864,-29.2
25025110601,3009,145800.0,0,0,1,0.0,0.35193367849513796,0.43185588778851425,24.4,0.17596683924756898,0.1267629036018709,7.6
25025110607,5271,145795.0,3,0,8,0.2422189038985198,0.49376616926188777,0.9331221576728652,68.4,0.3679925365802038,0.4018288973829924,-5.2
25025120103,1682,211731.0,0,0,33,0.0,0.47090535216109114,0.6471133241510407,40.8,0.23545267608054557,0.6449015617235171,-63.5
25025120104,2341,121583.0,1,1,8,0.52110945194926,0.3967978148226057,0.9331221576728652,78.3,0.4589536333859328,0.4018288973829924,8.9
25025120105,2471,178594.0,0,0,2,0.0,0.38195538579948907,0.5669858902373621,32.3,0.19097769289974453,0.2009144486914962,-1.5
25025120201,4459,98929.0,1,0,26,0.1211094519492599,0.4711529894842836,0.7239403110601692,50.9,0.2961312207167717,0.6027433460744885,-47.5
25025120301,4929,114627.0,5,1,12,0.7130633917717275,0.46427852146229903,0.9675243552706336,93.9,0.5886709566170133,0.46907848327525364,18.5
25025120400,6598,145543.0,2,1,59,0.5919539398224677,0.5782183096549715,0.45782037919035556,69.9,0.5850861247387196,0.7487746031579204,-25.4
25025120500,2688,143393.0,0,0,5,0.0,0.43259737062135345,0.7979921552240172,45.7,0.21629868531067672,0.3276773522933671,-17.3
25025120600,2732,146806.0,0,0,13,0.0,0.4608316412249058,0.9428262733435937,54.0,0.2304158206124529,0.48263136496289677,-39.1
25025120700,2107,114940.0,1,1,2,0.52110945194926,0.36375909528810296,0.5669858902373621,59.5,0.4424342736186815,0.2009144486914962,37.4
25025130101,6060,145881.0,0,0,8,0.0,0.5181142675627963,0.9331221576728652,56.6,0.25905713378139816,0.4018288973829924,-22.1
25025130200,4429,149018.0,3,0,19,0.2422189038985198,0.4492024297597283,0.8239566466258585,61.0,0.34571066682912405,0.5478601544664242,-31.3
25025130300,4347,151480.0,4,0,1,0.2812074390373976,0.4447208399446496,0.43185588778851425,44.6,0.3629641394910236,0.1267629036018709,36.6
25025130402,5266,92636.0,0,0,21,0.0,0.3800776232308849,0.7921924711818822,42.6,0.19003881161544245,0.5652905003924549,-58.2
25025130404,3108,112639.0,0,0,2,0.0,0.3474540326415994,0.5669858902373621,30.4,0.1737270163207997,0.2009144486914962,-4.2
25025130406,5824,52616.0,0,0,1,0.0,0.36779461606267744,0.43185588778851425,25.2,0.18389730803133872,0.1267629036018709,8.9
25025140102,5457,122990.0,0,0,2,0.0,0.4404494334358234,0.5669858902373621,35.4,0.2202247167179117,0.2009144486914962,3.0
25025140105,3592,79375.0,0,0,3,0.0,0.30556612680769757,0.6628621527751695,32.6,0.15278306340384878,0.2535258072037418,-15.6
25025140106,2202,35333.0,0,0,0,0.0,0.1937698702772462,0.20084962280185914,5.1,0.0968849351386231,0.0,15.0
